P,m,T,X1,X2,X3
256,13312,0.024643499,510,26520,13260
256,13568,0.025026076,510,27030,13515
256,13824,0.025396337,510,27540,13770
256,14080,0.025789126,510,28050,14025
256,14336,0.026170923,510,28560,14280
256,14592,0.026553507,510,29070,14535
256,14848,0.026922361,510,29580,14790
256,15104,0.027316347,510,30090,15045
256,15360,0.027684778,510,30600,15300
256,15616,0.028080656,510,31110,15555
256,15872,0.028462436,510,31620,15810
256,16128,0.028843950,510,32130,16065
256,16384,0.029226030,510,32640,16320
256,16640,0.029607737,510,33150,16575
256,16896,0.029989020,510,33660,16830
256,17152,0.030370865,510,34170,17085
256,17408,0.030752706,510,34680,17340
256,17664,0.031134502,510,35190,17595
256,17920,0.031516300,510,35700,17850
256,18176,0.031881385,510,36210,18105
256,18432,0.032280206,510,36720,18360
256,18688,0.032661693,510,37230,18615
256,18944,0.033043491,510,37740,18870
256,19200,0.033425674,510,38250,19125
256,19456,0.033788211,510,38760,19380
256,19712,0.034188884,510,39270,19635
256,19968,0.034570680,510,39780,19890
256,20224,0.034952261,510,40290,20145
256,20480,0.035334273,510,40800,20400
256,20736,0.035716070,510,41310,20655
512,8192,0.014171910,1022,16352,8176
512,8704,0.014485303,1022,17374,8687
512,9216,0.014795773,1022,18396,9198
512,9728,0.015112083,1022,19418,9709
512,10240,0.015419945,1022,20440,10220
512,10752,0.015738877,1022,21462,10731
512,11264,0.016052259,1022,22484,11242
512,11776,0.016365664,1022,23506,11753
512,12288,0.016679044,1022,24528,12264
512,12800,0.016995600,1022,25550,12775
512,13312,0.017312863,1022,26572,13286
512,13824,0.017630152,1022,27594,13797
512,14336,0.017947432,1022,28616,14308
512,14848,0.018264697,1022,29638,14819
512,15360,0.018581979,1022,30660,15330
512,15872,0.033330487,1022,31682,15841
512,16384,0.034092517,1022,32704,16352
512,16896,0.034854594,1022,33726,16863
512,17408,0.035616734,1022,34748,17374
512,17920,0.036378900,1022,35770,17885
512,18432,0.037140784,1022,36792,18396
512,18944,0.037902865,1022,37814,18907
512,19456,0.038664889,1022,38836,19418
512,19968,0.039429890,1022,39858,19929
512,20480,0.040195215,1022,40880,20440
1024,8192,0.023291435,2046,16368,8184
1024,9216,0.023919925,2046,18414,9207
1024,10240,0.024565525,2046,20460,10230
1024,11264,0.025211126,2046,22506,11253
1024,12288,0.025855770,2046,24552,12276
1024,13312,0.026502345,2046,26598,13299
1024,14336,0.027147968,2046,28644,14322
1024,15360,0.027791690,2046,30690,15345
1024,16384,0.028439205,2046,32736,16368
1024,17408,0.029084796,2046,34782,17391
1024,18432,0.029730406,2046,36828,18414
1024,19456,0.030376011,2046,38874,19437
1024,20480,0.031021531,2046,40920,20460
